id,full vocab,( start,) start,portuguese,english,flag_mastered,flag_last_correct_word
1,prato (plate),7,13,prato,plate,0,0
2,copo (glass),6,12,copo,glass,0,0
3,garfo (fork),7,12,garfo,fork,0,0
4,faca (knife),6,12,faca,knife,0,0
5,colher (spoon),8,14,colher,spoon,0,0
6,guardanapo (napkin),12,19,guardanapo,napkin,0,0
7,entrada (appetizer),9,19,entrada,appetizer,0,0
8,sobremesa (dessert),11,19,sobremesa,dessert,0,0
9,acompanhamento (side dish),16,26,acompanhamento,side dish,0,0
10,salada (salad),8,14,salada,salad,0,0
11,conta (bill),7,12,conta,bill,0,0
12,água (water),6,12,água,water,0,0
13,vinho (wine),7,12,vinho,wine,0,0
14,cerveja (beer),9,14,cerveja,beer,0,0
15,café (coffee),6,13,café,coffee,0,0
16,grelhado (grilled),10,18,grelhado,grilled,0,0
17,assado (roasted),8,16,assado,roasted,0,0
18,frito (fried),7,13,frito,fried,0,0
19,reserva (reservation),9,21,reserva,reservation,0,0
20,mesa (table),6,12,mesa,table,0,0
21,molho (sauce),7,13,molho,sauce,0,0
22,pedido (order),8,14,pedido,order,0,0
23,desconto (discount),10,19,desconto,discount,0,0
24,cartão (card),8,13,cartão,card,0,0
25,dinheiro (money),10,16,dinheiro,money,0,0
26,troco (change),7,14,troco,change,0,0
27,recibo (receipt),8,16,recibo,receipt,0,0
28,comer (to eat),7,14,comer,to eat,0,0
29,beber (to drink),7,16,beber,to drink,0,0
30,pedir (to order),7,16,pedir,to order,0,0
31,reservar (to reserve),10,21,reservar,to reserve,0,0
32,pagar (to pay),7,14,pagar,to pay,0,0
33,servir (to serve),8,17,servir,to serve,0,0
34,provar (to try),8,15,provar,to try,0,0
35,picante (spicy),9,15,picante,spicy,0,0
36,reservado (reserved),11,20,reservado,reserved,0,0
37,ocupado (occupied),9,18,ocupado,occupied,0,0
38,disponível (available),12,22,disponível,available,0,0
39,bebidas (beverages),9,19,bebidas,beverages,0,0
40,vinhos (wines),8,14,vinhos,wines,0,0
41,carnes (meats),8,14,carnes,meats,0,0
42,peixes (fish),8,13,peixes,fish,0,0
43,massas (pasta),8,14,massas,pasta,0,0
44,vegetariano (vegetarian),13,24,vegetariano,vegetarian,0,0
45,bife (steak),6,12,bife,steak,0,0
46,lombo (pork loin),7,17,lombo,pork loin,0,0
47,petiscos (snacks/appetizers),10,28,petiscos,snacks/appetizers,0,0
48,alcatra (rump steak),9,20,alcatra,rump steak,0,0
49,camarão (shrimp),9,16,camarão,shrimp,0,0
50,salmão (salmon),8,15,salmão,salmon,0,0
51,bacalhau (codfish),10,18,bacalhau,codfish,0,0
52,polvo (octopus),7,15,polvo,octopus,0,0
53,lagosta (lobster),9,17,lagosta,lobster,0,0
54,caranguejo (crab),12,17,caranguejo,crab,0,0
55,mexilhão (mussel),10,17,mexilhão,mussel,0,0
56,atum (tuna),6,11,atum,tuna,0,0
57,arroz (rice),7,12,arroz,rice,0,0
58,feijão (beans),8,14,feijão,beans,0,0
59,legumes (vegetables),9,20,legumes,vegetables,0,0
60,brócolis (broccoli),10,19,brócolis,broccoli,0,0
61,espinafre (spinach),11,19,espinafre,spinach,0,0
62,milho (corn),7,12,milho,corn,0,0
63,alface (lettuce),8,16,alface,lettuce,0,0
64,tomate (tomato),8,15,tomate,tomato,0,0
65,pepino (cucumber),8,17,pepino,cucumber,0,0
66,cenoura (carrot),9,16,cenoura,carrot,0,0
67,cebola (onion),8,14,cebola,onion,0,0
68,pimentão (bell pepper),10,22,pimentão,bell pepper,0,0
69,azeitona (olive),10,16,azeitona,olive,0,0
70,queijo (cheese),8,15,queijo,cheese,0,0
71,ovo (egg),5,9,ovo,egg,0,0
72,manteiga (butter),10,17,manteiga,butter,0,0
73,mel (honey),5,11,mel,honey,0,0
74,azeite (olive oil),8,18,azeite,olive oil,0,0
75,vinagre (vinegar),9,17,vinagre,vinegar,0,0
76,pimenta (pepper),9,16,pimenta,pepper,0,0
77,imperial (small beer),10,21,imperial,small beer,0,0
78,escolher (to choose),10,20,escolher,to choose,0,0
79,aguardar (to wait),10,18,aguardar,to wait,0,0
80,cancelar (to cancel),10,20,cancelar,to cancel,0,0
81,sugerir (to suggest),9,20,sugerir,to suggest,0,0
82,recomendar (to recommend),12,25,recomendar,to recommend,0,0
83,trazer (to bring),8,17,trazer,to bring,0,0
84,levar (to take),7,15,levar,to take,0,0
85,recolher (to collect),10,21,recolher,to collect,0,0
86,preparar (to prepare),10,21,preparar,to prepare,0,0
87,cozinhar (to cook),10,18,cozinhar,to cook,0,0
88,cortar (to cut),8,15,cortar,to cut,0,0
89,dividir (to split),9,18,dividir,to split,0,0
90,incluir (to include),9,20,incluir,to include,0,0
91,avisar (to notify),8,18,avisar,to notify,0,0
92,agradecer (to thank),11,20,agradecer,to thank,0,0
93,finalizar (to finish),11,21,finalizar,to finish,0,0
94,fatia (slice),7,13,fatia,slice,0,0
95,porção (portion),8,16,porção,portion,0,0
96,talheres (cutlery),10,18,talheres,cutlery,0,0
97,gelado (ice cream),8,18,gelado,ice cream,0,0
98,garrafa (bottle),9,16,garrafa,bottle,0,0
99,jantar (to have dinner),8,23,jantar,to have dinner,0,0
100,forno (oven),7,12,forno,oven,0,0